Round 1: s=6108, f=107048, c=1974, r=3051, g^r=26703, f*y^c=26703, pass=True
Round 2: s=797, f=27820, c=4058, r=2384, g^r=112966, f*y^c=112966, pass=True
Round 3: s=2999, f=73021, c=6318, r=5450, g^r=71228, f*y^c=71228, pass=True
Round 4: s=6407, f=57649, c=4463, r=668, g^r=61964, f*y^c=61964, pass=True
Round 5: s=2406, f=74267, c=2247, r=1567, g^r=65229, f*y^c=65229, pass=True
Round 6: s=506, f=110836, c=366, r=1489, g^r=85784, f*y^c=85784, pass=True
Round 7: s=4453, f=51462, c=5339, r=6126, g^r=41119, f*y^c=41119, pass=True
Round 8: s=3683, f=102894, c=4603, r=2866, g^r=78027, f*y^c=78027, pass=True
Round 9: s=545, f=5046, c=5866, r=4165, g^r=38217, f*y^c=38217, pass=True
Round 10: s=3122, f=74415, c=176, r=6051, g^r=664, f*y^c=664, pass=True
Round 11: s=1409, f=12238, c=1575, r=6464, g^r=6880, f*y^c=6880, pass=True
Round 12: s=492, f=15944, c=4843, r=4279, g^r=60233, f*y^c=60233, pass=True
Round 13: s=3772, f=106174, c=3608, r=81, g^r=52026, f*y^c=52026, pass=True
Round 14: s=795, f=27609, c=4204, r=1381, g^r=28219, f*y^c=28219, pass=True
Round 15: s=4071, f=95117, c=1401, r=6459, g^r=58643, f*y^c=58643, pass=True
Round 16: s=6063, f=107224, c=2882, r=1192, g^r=61463, f*y^c=61463, pass=True
Round 17: s=3546, f=94856, c=805, r=1657, g^r=42230, f*y^c=42230, pass=True
Round 18: s=1686, f=41876, c=1131, r=2249, g^r=102947, f*y^c=102947, pass=True
Round 19: s=2808, f=92582, c=1795, r=3138, g^r=89049, f*y^c=89049, pass=True
Round 20: s=6193, f=97201, c=1292, r=1011, g^r=60835, f*y^c=60835, pass=True
Round 21: s=4944, f=47972, c=2636, r=1392, g^r=90430, f*y^c=90430, pass=True
Round 22: s=6331, f=59799, c=1, r=6462, g^r=107536, f*y^c=107536, pass=True
Round 23: s=5466, f=20421, c=388, r=2622, g^r=84587, f*y^c=84587, pass=True
Round 24: s=932, f=64748, c=4619, r=2211, g^r=78764, f*y^c=78764, pass=True
Round 25: s=3044, f=106518, c=6188, r=1883, g^r=64792, f*y^c=64792, pass=True
Round 26: s=777, f=12401, c=6254, r=1553, g^r=8917, f*y^c=8917, pass=True
Round 27: s=404, f=37433, c=4487, r=4518, g^r=66586, f*y^c=66586, pass=True
Round 28: s=4160, f=61458, c=5972, r=1539, g^r=83218, f*y^c=83218, pass=True
Round 29: s=2957, f=76869, c=2294, r=1566, g^r=71253, f*y^c=71253, pass=True
Round 30: s=3049, f=91314, c=3733, r=2315, g^r=111733, f*y^c=111733, pass=True
